round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,Spread blockchain knowledge to the Arab world,622,undefined,Community,https://gitcoin.co/grants/622/spread-blockchain-knowledge-to-the-arab-world,0,8,8,31,31,31,31,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Fund to create tutorial on using Unity3D with Ethereum,3385,india,dApp Tech,https://gitcoin.co/grants/3385/fund-to-create-tutorial-on-using-unity3d-with-eth,0,7,7,112,112,112,112,india,1,71396,1
GR12,12,2021-12-01,2021-12-16,Satellite.im - A Fast & Painless Decentralized Chat,1695,north_america,dApp Tech,https://gitcoin.co/grants/1695/satelliteim-a-fast-painless-decentralized-chat,0,13,13,23,23,23,23,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,future modern (panvala league - please donate $pan not $dai! 😊),982,undefined,Community,https://gitcoin.co/grants/982/future-modern-panvala-league-please-donate-pan-no,0,13,12,27,27,27,27,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Pool-Party HackerVilla (Panvala League),2196,north_america,dApp Tech,https://gitcoin.co/grants/2196/pool-party-hackervilla-panvala-league,0,15,9,27,27,27,27,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Tatva Finance,3852,north_america,dApp Tech,https://gitcoin.co/grants/3852/tatva-finance,0,8,8,19,19,19,19,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Crypto Native (video) podcast with Future Alisha,2908,oceania,Community,https://gitcoin.co/grants/2908/crypto-native-video-podcast-with-future-alisha,0,9,9,247,247,247,247,oceania,1,49133,1
GR12,12,2021-12-01,2021-12-16,Reach Blockchain Development Platform,194,north_america,dApp Tech,https://gitcoin.co/grants/194/reach-blockchain-development-platform,0,13,13,13,13,13,13,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,"NFT Africa ""NFT’s Education for Local Women Artists in Africa”",2769,africa,NFTs,https://gitcoin.co/grants/2769/nft-africa-nfts-education-for-local-women-artists,0,7,7,36,36,36,36,africa,1,32850,1
GR12,12,2021-12-01,2021-12-16,The Humanetics Workshop,4034,europe,Community,https://gitcoin.co/grants/4034/the-humanetics-workshop,0,8,8,34,34,34,34,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,ENSPortal,781,undefined,Infra Tech,https://gitcoin.co/grants/781/ensportal,0,13,13,28,28,28,28,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,LikeCoin - Republic of Liker Land,634,east_asia,Infra Tech,https://gitcoin.co/grants/634/likecoin-republic-of-liker-land,0,7,7,34,34,34,34,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,Dandelion [Panvala League],564,europe,dApp Tech,https://gitcoin.co/grants/564/dandelion-panvala-league,0,9,9,42,42,42,42,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Let's Unf_ck The Planet Together w/ Early-stage Climate Tech R&D,4251,north_america,Grants Round 12,https://gitcoin.co/grants/4251/lets-unf_ck-the-planet-together-w-early-stage-cli,0,7,7,38,38,39,39,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Valist,1776,north_america,dApp Tech,https://gitcoin.co/grants/1776/valist,0,11,11,267,267,268,268,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Frontpage Ping: Decentralized Real-Time Collaboration Network Protocol for Web3,4294,north_america,Grants Round 12,https://gitcoin.co/grants/4294/frontpage-ping-decentralized-real-time-collaborat,0,11,10,23,23,23,23,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,Interspace.chat,516,undefined,Community,https://gitcoin.co/grants/516/interspacechat,0,7,7,39,39,39,39,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,CLAIRVOYANT ALLIANCE ART UNIVERSITY - NFT DAO COMMUNITY ARTHΞRΞUM THE REAL ΞTHΞRΞALARTMUSΞUM,2400,north_america,NFTs,https://gitcoin.co/grants/2400/clairvoyant-alliance-art-university-nft-dao-commu,0,9,9,18,18,18,18,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,"Demodyfi ""A Multi-chain Universe""",1452,europe,Infra Tech,https://gitcoin.co/grants/1452/demodyfi-a-multi-chain-universe,0,13,10,28,28,28,28,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Gaia Gives Funding Portal,1262,latin_america,dApp Tech,https://gitcoin.co/grants/1262/gaia-gives-funding-portal,0,11,10,57,57,57,57,latin america,1,237134,1
GR12,12,2021-12-01,2021-12-16,Wildcards.world,216,undefined,dApp Tech,https://gitcoin.co/grants/216/wildcardsworld,0,9,9,16,16,16,16,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Solidarity DeFi,2479,north_america,dApp Tech,https://gitcoin.co/grants/2479/solidarity-defi,0,9,9,16,16,16,16,north america,1,2341629,1
GR12,12,2021-12-01,2021-12-16,analyzer.fi,4242,europe,Grants Round 12,https://gitcoin.co/grants/4242/analyzerfi,0,9,9,39,39,39,39,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,VueDapp,3987,east_asia,Infra Tech,https://gitcoin.co/grants/3987/vuedapp,0,7,7,89,89,89,89,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,The Rhada Protocol,3567,europe,dGov,https://gitcoin.co/grants/3567/the-rhada-protocol,0,11,11,19,19,19,19,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Duelist King - Democratizing NFT Card Game,2991,southeast_asia,NFTs,https://gitcoin.co/grants/2991/duelist-king-democratizing-nft-card-game,0,14,12,22,22,22,22,southeast asia,1,107380,1
GR12,12,2021-12-01,2021-12-16,Flashbots Bundle Explorer,2871,latin_america,dApp Tech,https://gitcoin.co/grants/2871/flashbots-bundle-explorer,0,6,6,46,46,46,46,latin america,1,237134,1
GR12,12,2021-12-01,2021-12-16,Miga Labs - Eth2 Software Tools and Network Data,2736,europe,Infra Tech,https://gitcoin.co/grants/2736/miga-labs-eth2-software-tools-and-network-data,0,6,6,34,34,34,34,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,Movement DAO,862,undefined,dApp Tech,https://gitcoin.co/grants/862/movement-dao,0,7,7,15,15,15,15,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,IndexPool,2840,latin_america,dApp Tech,https://gitcoin.co/grants/2840/indexpool,0,7,7,23,23,23,23,latin america,1,237134,1
GR12,12,2021-12-01,2021-12-16,Minimum Viable Salaries for scalability and inclusivity in DAOs,4304,europe,Grants Round 12,https://gitcoin.co/grants/4304/minimum-viable-salaries-for-scalability-and-inclu,0,6,6,23,23,23,23,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,karbonbased shitposting,1299,undefined,Community,https://gitcoin.co/grants/1299/karbonbased-shitposting,0,10,10,28,28,28,28,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,未来クリプト研究室,3608,east_asia,Community,https://gitcoin.co/grants/3608/wei-lai-kuriputoyan-jiu-shi,0,6,6,45,45,45,45,east asia,1,285554,1
GR12,12,2021-12-01,2021-12-16,ClimateDataPool,1467,none,Community,https://gitcoin.co/grants/1467/climatedatapool,0,5,5,27,27,27,27,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Audio Software for EVM,3432,europe,NFTs,https://gitcoin.co/grants/3432/audio-software-for-evm,0,9,9,41,41,41,41,europe,1,1386166,1
