round_update,round_number,round_start_date,round_end_date,grant_title,grant_id,region,category,url,match_amount,num_contributions,num_unique_contributors,crowdfund_amount_contributions_usd,crowdfund_amount_contributions_usd_update,total,total_update,region_update,count,total_update_grouped,grant_id_update
GR12,12,2021-12-01,2021-12-16,Moni Talks 🗞,3637,europe,Community,https://gitcoin.co/grants/3637/moni-talks,4,33,31,696,696,700,700,europe,1,1386166,2
GR12,12,2021-12-01,2021-12-16,Uncryptd - Learning to Web3 with Crypto Incentives,3360,india,Community,https://gitcoin.co/grants/3360/uncryptd-learning-to-web3-with-crypto-incentives,4,48,47,338,338,341,341,india,1,71396,2
GR12,12,2021-12-01,2021-12-16,urllib3 - Python HTTP Library,65,undefined,Infra Tech,https://gitcoin.co/grants/65/urllib3-python-http-library,3,47,45,225,225,228,228,worlwide,1,1502191,11
GR12,12,2021-12-01,2021-12-16,Little Things (Indonesian Crypto Community),3647,southeast_asia,Community,https://gitcoin.co/grants/3647/little-things-indonesian-crypto-community,3,60,59,174,174,177,177,southeast asia,1,107380,2
GR12,12,2021-12-01,2021-12-16,Open Reviews: Save  your Airbnb/Booking.com Reviews on the Blockchain,1166,europe,dApp Tech,https://gitcoin.co/grants/1166/open-reviews-save-your-airbnbbookingcom-reviews-o,3,32,32,208,208,211,211,europe,1,1386166,6
GR12,12,2021-12-01,2021-12-16,UniSwappeR - An R Package to interact with the Uniswap Platform,4312,none,Grants Round 12,https://gitcoin.co/grants/4312/uniswapper-an-r-package-to-interact-with-the-unis,3,28,27,338,338,341,341,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Gastly Browser Extension | Web Dashboard,3562,africa,Infra Tech,https://gitcoin.co/grants/3562/gastly-browser-extension-web-dashboard,3,55,45,463,463,466,466,africa,1,32850,2
GR12,12,2021-12-01,2021-12-16,ETHTurin Meetup & Devshop | on-chain Copyright R&D,3494,europe,dApp Tech,https://gitcoin.co/grants/3494/ethturin-meetup-devshop-on-chain-copyright-rd,3,60,60,106,106,109,109,europe,1,1386166,2
GR12,12,2021-12-01,2021-12-16,Marma J Foundation (Marma J DAO) - Panvala League 🥰,902,north_america,Community,https://gitcoin.co/grants/902/marma-j-foundation-marma-j-dao-panvala-league,3,46,43,232,232,234,234,north america,1,2341629,7
GR12,12,2021-12-01,2021-12-16,Brownie,888,none,Infra Tech,https://gitcoin.co/grants/888/brownie,3,33,33,367,367,369,369,worlwide,1,1502191,7
GR12,12,2021-12-01,2021-12-16,Deep Work Skill Attestation Protocol - MVP,3536,undefined,Infra Tech,https://gitcoin.co/grants/3536/deep-work-skill-attestation-protocol-mvp,3,58,48,405,405,408,408,worlwide,1,1502191,2
GR12,12,2021-12-01,2021-12-16,Mantama (Me-to-We),2173,middle_east,dApp Tech,https://gitcoin.co/grants/2173/mantama-me-to-we,3,39,39,140,140,143,143,middle east,1,16093,3
GR12,12,2021-12-01,2021-12-16,"Swell Network | Maintaining a decentralised, open, and liquid Ethereum ecosystem",4017,undefined,dApp Tech,https://gitcoin.co/grants/4017/swell-network-maintaining-a-decentralised-open-an,3,35,32,428,428,430,430,worlwide,1,1502191,1
GR12,12,2021-12-01,2021-12-16,Moonjelly DAO: Decentralizing Ocean Conservation,4240,europe,Grants Round 12,https://gitcoin.co/grants/4240/moonjelly-dao-decentralizing-ocean-conservation,3,31,30,280,280,282,282,europe,1,1386166,1
GR12,12,2021-12-01,2021-12-16,IntelliJ Solidity,1047,undefined,Infra Tech,https://gitcoin.co/grants/1047/intellij-solidity,2,23,23,481,481,483,483,worlwide,1,1502191,6
GR12,12,2021-12-01,2021-12-16,verses,3970,undefined,Community,https://gitcoin.co/grants/3970/verses,2,28,27,736,736,738,738,worlwide,1,1502191,1
